locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKDPDCFA_00001	CDS	396				hypothetical protein
JKDPDCFA_00002	CDS	324				hypothetical protein
JKDPDCFA_00003	CDS	822				hypothetical protein
JKDPDCFA_00004	CDS	510	swrC_1		COG0841	Swarming motility protein SwrC
JKDPDCFA_00005	CDS	219				hypothetical protein
JKDPDCFA_00006	CDS	150				hypothetical protein
JKDPDCFA_00007	CDS	1152	tdh	1.1.1.103		L-threonine 3-dehydrogenase
JKDPDCFA_00008	CDS	273				hypothetical protein
JKDPDCFA_00009	CDS	234				hypothetical protein
JKDPDCFA_00010	CDS	609				hypothetical protein
JKDPDCFA_00011	CDS	861				hypothetical protein
JKDPDCFA_00012	CDS	477	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
JKDPDCFA_00013	CDS	1740	arc_1		COG0464	Proteasome-associated ATPase
JKDPDCFA_00014	CDS	1518	dop_1	3.4.-.-		Depupylase
JKDPDCFA_00015	CDS	213	pup_1			Prokaryotic ubiquitin-like protein Pup
JKDPDCFA_00016	CDS	840	prcB_1	3.4.25.1	COG0638	Proteasome subunit beta
JKDPDCFA_00017	CDS	690	prcA_1	3.4.25.1	COG0638	Proteasome subunit alpha
JKDPDCFA_00018	CDS	648	pafA_1	6.3.1.19		Pup--protein ligase
JKDPDCFA_00019	CDS	702	pafA_2	6.3.1.19		Pup--protein ligase
JKDPDCFA_00020	CDS	693				hypothetical protein
JKDPDCFA_00021	CDS	297				hypothetical protein
JKDPDCFA_00022	CDS	927				hypothetical protein
JKDPDCFA_00023	CDS	912				hypothetical protein
JKDPDCFA_00024	CDS	204				hypothetical protein
JKDPDCFA_00025	CDS	462				hypothetical protein
JKDPDCFA_00026	CDS	444				hypothetical protein
JKDPDCFA_00027	CDS	918	ectD_1	1.14.11.55		Ectoine dioxygenase
JKDPDCFA_00028	CDS	396	ectC_1	4.2.1.108		L-ectoine synthase
JKDPDCFA_00029	CDS	1278	ectB	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate transaminase
JKDPDCFA_00030	CDS	564	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
JKDPDCFA_00031	CDS	1200	proP_1			Proline/betaine transporter
JKDPDCFA_00032	CDS	267				hypothetical protein
JKDPDCFA_00033	tRNA	75				tRNA-Cys(gca)
JKDPDCFA_00034	CDS	459				hypothetical protein
JKDPDCFA_00035	CDS	132				hypothetical protein
JKDPDCFA_00036	tRNA	77				tRNA-Arg(tcg)
JKDPDCFA_00037	CDS	1995	mdtB_1			Multidrug resistance protein MdtB
JKDPDCFA_00038	CDS	1140	cnrA_1			Nickel and cobalt resistance protein CnrA
JKDPDCFA_00039	CDS	618				hypothetical protein
JKDPDCFA_00040	CDS	1455				hypothetical protein
JKDPDCFA_00041	CDS	2046	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
JKDPDCFA_00042	CDS	420	rbr		COG1592	Rubrerythrin
JKDPDCFA_00043	CDS	888				hypothetical protein
JKDPDCFA_00044	CDS	1326	menF	5.4.4.2		Isochorismate synthase MenF
JKDPDCFA_00045	tRNA	75				tRNA-His(gtg)
JKDPDCFA_00046	CDS	318				hypothetical protein
JKDPDCFA_00047	CDS	201				hypothetical protein
JKDPDCFA_00048	CDS	1275		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
JKDPDCFA_00049	CDS	975				hypothetical protein
JKDPDCFA_00050	CDS	924	ttuA	2.8.1.15	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
JKDPDCFA_00051	CDS	204				hypothetical protein
JKDPDCFA_00052	CDS	492				hypothetical protein
